column,uri,entity_alias,FuTRES_Use,type,example,CV,need,neo,zooarch,paleo
individualID,urn:individualID,vertebrateOrganism,An identifier of a distinct individual (e.g. all bones within the same associated skeleton would have the same individualID).,string, UUID; institutionCode-collectionCode-catalogNumber,,suggested,x,x,x
materialSampleID,http://rs.tdwg.org/dwc/terms/materialSampleID,vertebrateOrganism,"An identifier for the materialSample (single specimen, element, or bone) that is globally unique (e.g., each bone within an associated skeleton would have a unique materialSampleID).",string,UUID; institutionCode-collectionCode-catalogNumber,,required,x,x,x
diagnosticID,urn:diagnosticID,vertebrateOrganism,An identifier of a single measurement of a specimen / element that is globally unique. We will provide this.,string,UUID,,required,x,x,x
institutionCode,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,vertebrateOrganism,The code or abbreviation for the institution or museum.,string,NMNH for the National Museum of Natural History,,suggested,x,x,x
institutionID,http://rs.tdwg.org/dwc/terms/institutionID,vertebrateOrganism,An identifier for the institution having custody of the object(s) or information referred to in the record.,string,URL,,,x,x,x
collectionCode,http://rs.tdwg.org/dwc/terms/collectionCode,vertebrateOrganism,The code or abbreviation for the collection or department within the museum.,string,PAL for Department of Paleontology,,suggested,x,x,x
catalogNumber,http://rs.tdwg.org/dwc/terms/catalogNumber,vertebrateOrganism,An identifier (preferably unique) assigned to the specimen by the institution or museum.,numerical,12345,,suggested,x,x,x
otherCatalogNumbers,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,vertebrateOrganism,A list of previous catalog numbers or human-used identifiers for the indivudal occurrence.,string,NPS YELLO6778 | MBG 33424,,,x,x,x
scientificName,http://rs.tdwg.org/dwc/terms/scientificName,vertebrateOrganism,"The lowest taxnomic indentification for a specimen, preferably with authorship information.",string,Neotoma cinerea,,required,x,x,x
previousIdentifications,http://rs.tdwg.org/dwc/terms/previousIdentifications,vertebrateOrganism,A list (concatenated and separated) of previous assignments of names to the specimen.,string,,,,x,x,x
taxonRank,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,verbatimOrganism,"The taxonomic rank of the most specific name in the scientificName as it appears in the original record.",string,species,,suggested,x,x,x
fieldNumber,http://rs.tdwg.org/dwc/iri/fieldNumber,vertebrateTraitObsProc,The number assigned to the field site that links the fieldNotes and the collection event.,string,F-123,,,x,x,x
decimalLatitude,http://rs.tdwg.org/dwc/terms/decimalLatitude,vertebrateTraitObsProc,The geographic latitude in decimal degrees between -90 and 90.,numerical,45,,suggested (need this or locality),x,x,x
decimalLongitude,http://rs.tdwg.org/dwc/terms/decimalLongitude,vertebrateTraitObsProc,The geographic longitude in decimal degrees between -180 and 180.,numerical,-110,,suggested (need this or locality),x,x,x
coordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,vertebrateTraitObsProc,Measured as horizontal distance in meters from the decimalLatidue and decimalLongitude.,numerical,30,,,x,x,x
verbatimLatitude,http://rs.tdwg.org/dwc/terms/verbatimLatitude,vertebrateTraitObsProc,The latitude as originally recorded.,string,10.11 NAD27,,,x,x,x
verbatimLongitude,http://rs.tdwg.org/dwc/terms/verbatimLongitude,vertebrateTraitObsProc,The longitude as originally recored.,string, 100.11 NAD27,,,x,x,x
minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,vertebrateTraitObsProc,The lower limit of elevation (above sea level) in meters (same as maximum if it is a single point value).,numerical,200m,,,x,x,x
maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,vertebrateTraitObsProc,The upper limit of elevation (above sea level) in meters (same as minimum if it is a single point value).,numerical,200m,,,x,x,x
verbatimElevation,http://rs.tdwg.org/dwc/terms/verbatimElevation,vertebrateTraitObsProc,,The original description of elevation.,100-200m,,,x,x,x
locality,http://rs.tdwg.org/dwc/terms/locality,vertebrateTraitObsProc,The specific description of site.,string,Tecal or Quarry 4,,suggested (need this or lat/long),x,x,x
verbatimLocality,http://rs.tdwg.org/dwc/terms/verbatimLocality,vertebrateTraitObsProc,The original description of site.,string,3 miles west of Gainesville or underneath of Guatemala City,,,x,x,x
country,http://rs.tdwg.org/dwc/terms/county,vertebrateTraitObsProc,The country of observation or collection.,string,USA,,,x,x,x
stateProvince,http://rs.tdwg.org/dwc/terms/stateProvince,vertebrateTraitObsProc,The state of porvince of observation or collection.,string,Montana,,,x,x,x
verbatimEventDate,http://rs.tdwg.org/dwc/terms/verbatimEventDate,vertebrateTraitObsProc,The original representatino of the date and time of observation or collection.,string,"date of collection event, not of measurement; Jun 1847",,suggested,x,x,x
yearCollected,urn:yearCollected,vertebrateTraitObsProc,The year the specimen or sample was collected.,integer,1999,,,x,x,x
eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks,vertebrateTraitObsProc,Comments about observation or collection event or additional field notes.,string,collected after heavy rains,,,x,x,x
waterBody,http://rs.tdwg.org/dwc/terms/waterBody,vertebrateTraitObsProc,The name of the water body in which the Location occurs.,string,,,,x,x,x
islandGroup,http://rs.tdwg.org/dwc/terms/islandGroup,vertebrateTraitObsProc,The name of the island group in which the Location occurs.,string,,,,x,x,x
island,http://rs.tdwg.org/dwc/terms/island,vertebrateTraitObsProc,The name of the island on or near which the Location occurs.,string,,,,x,x,x
samplingProtocol,http://rs.tdwg.org/dwc/iri/samplingProtocol,vertebrateTraitObsProc,"The method/protocol, reference, or URL of MeasurementType.",string,Von Der Dreish 1976,,suggested,x,x,x
basisOfRecord,http://rs.tdwg.org/dwc/terms/basisOfRecord,vertebrateOrganism,The specific nature of the specimen.,string,,"PreservedSpecimen, FossilSpecimen, LivingSpecimen, HumanObservation, MachineObservation",required,x,x,x
sex,http://rs.tdwg.org/dwc/terms/sex,vertebrateOrganism,The sex of the individual being measured.,string,,"female, male, hermaphrodite",,x,x,x
verbatimLifeStage,urn:verbatimLifeStage,vertebrateOrganism,The original description of life stage of individual.,string,young of the year,,,x,x,x
lifeStage,http://rs.tdwg.org/dwc/terms/lifeStage,vertebrateOrganism,The age class or life stage of the specimen being measured.,string,,"juvenile, subadult, adult, reproductive",suggested,x,x,x
reproductiveCondition,http://rs.tdwg.org/dwc/terms/reproductiveCondition,vertebrateOrganism,The reproductive condition of the specimen at time of the trait measurement.,string,,"non-reproductive, pregnant",,x,,
verbatimAgeValue,urn:verbatimAgeValue,vertebrateOrganism,"The numerical value or range indicating how old including the unit such as hours, days, weeks, months, or years the individual is a time of death (paleo and zooarchaeological), collection (neoecological), or observation (non-specimen observations).",string,~2-3 yrs,,,x,,
ageValue,urn:ageValue,vertebrateOrganism,"A single numerical value indicating how old in hours, days, weeks, months, or years the individual is a time of death (paleo and zooarchaeological), collection (neoecological), or observation (non-specimen observations).",numerical,6,,,x,,
ageUnit,urn:ageUnit,vertebrateOrganism,"The unit associated with the ageValue in hour, day, week, month, or year.",string,,"hour, day, week, month, year",,x,,
ageEstimationMethod,urn:ageEstimationMethod,vertebrateOrganism,A free text field for description of method for determining ageValue.,string,counted rings tusk,,,x,,
measurementType,http://rs.tdwg.org/dwc/terms/measurementType,measurementDatum,The trait and anatomical or physiological feature being measured.,string,,CV from list of traits,required,x,x,x
measurementValue,http://rs.tdwg.org/dwc/terms/measurementValue,measurementDatum,The numerical value of measurement.,numerical,45,,required,x,x,x
measurementUnit,http://rs.tdwg.org/dwc/terms/measurementUnit,measurementDatum,The unit associated with the measurementValue.,string,,"mm,cm,m,in,ft,km,g,kg,oz,lb",required,x,x,x
measurementMethod,http://rs.tdwg.org/dwc/terms/measurementMethod,measurementDatum,"The description, reference, or URL of the method used for measurementType.",string,used calipers for measurementType,,required,x,x,x
measurementSide,urn:measurementSide,measurementDatum,The side (right or left) of the individual that the measurement was taken.,string,,"left,right",,x,x,x
measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,measurementDatum,"A list (concatenated and separated) of names of people, groups, or organizations who determined the measuremtnValue.",string,MABalk,,suggested,x,x,x
measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,measurementDatum,The date the measurementValue was taken.,string,23/12/10,,suggested if have measurementDeterminedBy,x,x,x
measurementAccuracy,http://rs.tdwg.org/dwc/terms/measurementAccuracy,measurementDatum,The numerical value of measurement error for the measurementValue of either the instrument or the measurer.,string,10mm,,suggested,x,x,x
measurementRemarks,http://rs.tdwg.org/dwc/terms/measurementRemarks,measurementDatum,Comments or notes accompanying MeasurementType.,string,75% of epiphysis,,suggested,x,x,x
materialSampleType,urn:materialSampleType,vertebrateTraitObsProc,The completeness of the materialSample.,string,,"Whole organism, Part organism - whole bone, Part organism - part bone, Part organism - whole skeleton, Part organism - gutted, Part organism - gutted and skinned, Part organism - skinned",suggested,x,x,x
materialSampleCondition,urn:materialSampleCondition,vertebrateTraitObsProc,The post-mordem condition or modification of the specimen.,string,"burning: calcined, animal alteration: none, taphonomy: medial side eroded slightly, conservation treatment: alvar",,,x,x,
geologicalContextID,http://rs.tdwg.org/dwc/terms/geologicalContextID,vertebrateTraitObsProc,An identifier for the geologicalContext such as stratigraphy.,string,URI,,,,x,x
chronometricAgeID,http://zooarchnet.org/dwc/terms/chronometricAgeID,vertebrateTraitObsProc,An identifier for the set of information associated with a ChronometricAge. May be a global unique identifier or an identifier specific to the data set.,string,URI,,,,x,x
earliestEonOrLowestEonothem,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,chronometricAgeProtocol,The earliest geochronologic eon from which the specimen was collected.,string,Phanerozoic,need one,,,,x
latestEonOrHighestEonothem,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,chronometricAgeProtocol,The latest geochronologic eon from which the specimen was collected.,string,Proterozoic,need one,,,,x
earliestEraOrLowestErathem,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,chronometricAgeProtocol,The earliest geochronologic era from which the specimen was collected.,string,Mesozoic,need one,,,,x
latestEraOrHighestErathem,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,chronometricAgeProtocol,The latest geochronologic era from which the specimen was collected.,string,Cenozoic,need one,,,,x
earliestPeriodOrLowestSystem,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,chronometricAgeProtocol,The earliest geochronologic era from which the specimen was collected.,string,Quaternary,need one,,,,x
latestPeriodOrHighestSystem,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,chronometricAgeProtocol,The latest geochronologic era from which the specimen was collected.,string,Tertiary,mneed one,,,,x
earliestEpochOrLowestSeries,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,chronometricAgeProtocol,The earliest geochronologic epoch from which the specimen was collected.,string,Pleistocene,need one,,,,x
latestEpochOrHighestSeries,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,chronometricAgeProtocol,The latest geochronologic epoch from which the specimen was collected.,string,Holocene,need one,,,,x
earliestAgeOrLowestStage,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,chronometricAgeProtocol,The earliest geochronologic age from which the specimen was collected.,string,Skullrockian,need one,,,,x
latestAgeOrHighestStage,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,chronometricAgeProtocol,The latest geochronologic age from which the specimen was collected.,string,Skullrockian,need one,,,,x
lowestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone,chronometricAgeProtocol,The lowest geological biostratigraphic zone from which the specimen was collected.,string,Maastrichtian,need one,,,,x
highestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone,chronometricAgeProtocol,The highest geological biostratigraphic zone from which the specimen was collected.,string,Blancan,need one,,,,x
minimumChronometricAge,http://zooarchnet.org/dwc/terms/minimumChronometricAge,vertebrateTraitObsProc,The lower limit of the age of the specimen determined by some chronometricAgeProtocol (same as maximum if it is a single point value).,numerical,14,,,,x,x
minimumChronometricAgeReferenceSystem,http://zooarchnet.org/dwc/terms/minimumChronometricAgeReferenceSystem,vertebrateTraitObsProc,The units for the minimumChronometricAge.,string,mya; B.C.E.,,,,x,x
maximumChronometricAge,http://zooarchnet.org/dwc/terms/maximumChronometricAge,vertebrateTraitObsProc,The upper limit of the age of the specimen determined by some chronometricAgeProtocol (same as minimum if it is a single point value).,numerical,20,,,,x,x
maximumChronometricAgeReferenceSystem,http://zooarchnet.org/dwc/terms/maximumChronometricAgeReferenceSystem,vertebrateTraitObsProc,The units for the maximumChronometricAge.,string,mya; B.C.E.,,,,x,x
chronometricAgeProtocol,http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyMethod,vertebrateTraitObsProc,Free text or reference to dating method for minimum and maximum chronomtericAge.,string,Fairbanks 2007,,,,x,x
chronometricAgeUncertaintyInYears,http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyInYears,vertebrateTraitObsProc,The standard deviation of the dating method for minimum and maximum ChronometricAge.,numerical,100,,,,x,x
chronometricAgeUncertaintyMethod,http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyMethod,vertebrateTraitObsProc,The method used to generate the reported uncertainty calculations for Chronometric Age.,string,,,,,x,x
verbatimDepth,http://rs.tdwg.org/dwc/terms/verbatimDepth,vertebrateTraitObsProc,The original description of depth below the surface where the specimen was collected.,string,1-2m,,,,x,x
minimumDepthInMeters,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,vertebrateTraitObsProc,The lesser depth below the surface in meters (same as maximum if it is a single point value).,numerical,0,,,,x,x
maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,vertebrateTraitObsProc,The greater depth below the surface in meters (same as minimum if it is a single point value).,numerical,20,,,,x,x
lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,vertebrateTraitObsProc,The name of the lowest hierarchical geologic stratigraphy for where the specimen was collected.,string,Pliocene-Pleistocene,,,,,x
group,http://rs.tdwg.org/dwc/terms/group,vertebrateTraitObsProc,The name of the lithographic group from which the specimen was collected.,string,Belly River Group,,,,,x
formation,http://rs.tdwg.org/dwc/terms/formation,vertebrateTraitObsProc,The name of the lithographic formation from which the specimen was collected.,string,Judith River Formation,,,,,x
member,http://rs.tdwg.org/dwc/terms/member,vertebrateTraitObsProc,The name of the lithographic member from which the specimen was collected.,string,Dinosaur Park member,,,,,x
bed,http://rs.tdwg.org/dwc/terms/bed,vertebrateTraitObsProc,The name of the lithographic bed from which the specimen was collected.,string,Bonebed 50,,,,,x
culturalOccupationPeriod,urn:culturalOccupationPeriod,vertebrateTraitObsProc,The names (not dates) of the regional and local occupational periods to which these specimens pertain. Use as many names as necessary to fully define the regional and local occupational periods - these can be either temporally or spatio-temporally defined.,string,"Preclassic, Middle Preclassic, Tzakol 3",,,,x,
