Column Name,Description,Example,Need?,User type,Notes
institutionCode,dwc,NMNH for the National Museum of Natural History,Required/warning,all,
collectionCode,,PAL for Department of Paleontology,required/warning,all,
specimenID,catalog number,of the physical object,required/warning,all,
specimenType,lot (collection of whole organisms or fragmentary organisms),whole organism; partial organism; single element of an organism (need controlled vocab),required/warning,all,JBD:this is either designated by the pre-processor as a designation for every record in the dataset or we have a mapping file which translates the provided options in the incoming dataset to ontology terms
aggregated data,,Y or N,put into holding tank,all,
scientificName,dwc,Neotoma cinerea; at any taxonomic level,required,all,
decimalLatitude,dwc,45N,suggested (need this or locality),all,
decimalLongitude,dwc,-110W,suggested (need this or locality),all,
precision,,buffered a 10degrees or at 20 km,,all,
sitename,,Tecal (non modern city),,zoarch; paleo,
verbatimLocality,dwc:locality,3 miles west of Gainesville or underneath of Guatemala City,suggested (need this or lat/long),all,
collectionDate (verbatimEventDate),,"date of collection event, not of measurement; Jun 1847",required,all,
basisOfRecord,dwc,preserved or fossil etc,required/warning,all,"in dwc there is: PreservedSpecimen, FossilSpecimen, and HumanObservation"
sex,dwc,M,suggested,all,
measurementType,https://tools.gbif.org/dwca-validator/extension.do?id=dwc:MeasurementOrFact`,controlled vocabulary; tail length,required,all,
measurementValue,https://tools.gbif.org/dwca-validator/extension.do?id=dwc:MeasurementOrFact,unitless number; 45,required,all,
measurementUnit,https://tools.gbif.org/dwca-validator/extension.do?id=dwc:MeasurementOrFact,unit; mm,required,all,
measurementMethod,https://tools.gbif.org/dwca-validator/extension.do?id=dwc:MeasurementOrFact,calipers,suggested,all,
minimumChronometricAge,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,14,"suggested (need this, lithostratigaphicTerms, or collectionDate)",all,
minimumChronometricAgeReferenceSystem,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,mya,needed if do minimumChronometricAge,all,
maximumChronometricAge,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,23,suggest (or Lithostratigraphic Terms),all,
maximumChronometricAgeReferenceSystem,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,mya,needed if do maximumChronometricAge,all,
chronometricAgeProtocol,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,radiocarbon or relative,needed if do ChronometricAge,zoarch; paleo,
chronometricAgeUncertaintyMethod,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,fairbanks 2007,suggested if do either ChronometricAge,zoarch; paleo,
chronometricAgeUncertaintyInYears,https://tools.gbif.org/dwca-validator/extension.do?id=http://zooarchnet.org/dwc/terms/ChronometricAge,standard deviation,suggested if do either ChronometricAge,zoarch; paleo,
lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,Pliocene-Pleistocene,suggested  (or ChronometricAge),paleo,may be easier because then can parse to lower and older intervals
group,http://rs.tdwg.org/dwc/terms/group,Belly River Group,suggested,paleo,
formation,http://rs.tdwg.org/dwc/terms/formation,Judith River Formation,suggested,paleo,
member,http://rs.tdwg.org/dwc/terms/member,Dinosaur Park member,suggested,paleo,
bed,http://rs.tdwg.org/dwc/terms/bed,Bonebed 50,suggested,paleo,
ContextName,link to Open Context or other URI for arch context identifier - or plain descriptive if not described elsewhere,provenience AG3-4ab,suggested,zooarch,"Kitty says: if this is available then the below information is presumably not necessary, but it will be fairly rare, especially in the beginning, that a link is readily available and so the below is necessary; Kitty asks: should this be zooarchaeological context name, or should this actually be extended to be the specific context name for either paleo or zoo specimens? or is ""bed"" the specific location of recovery of the paleo specimen? I'm guessing there is a more specific identifier of the actual location of recovery of paleo specimens as well?"
CulturalStratigraphy: cultural region,cutural region,Mesoamerica,suggested,zooarch,
CulturalStratigraphy: culture,various thesauri?  http://vocab.getty.edu/page/aat/300017826 in the Getty Art and Architecture Thesaurus,Maya [http://vocab.getty.edu/page/aat/300017826],suggested,zooarch,"Kitty says: my concern with all of these is that there is no central place to go for them - once datasets start coming in from all over the world, there will be various sources for URIs - these work for the area I research"
CulturalStratigraphy: occupation period (aka chronology),http://perio.do/en/,Late Classic [http://n2t.net/ark:/99152/p064v7m9xx2],suggested,zooarch,"Kitty says: in some ways this may seem to overlap with the chronometry above, but in many cases it is a looser term that approximates the occupational period of an area by a culture - whereas the chronometry is a specific date that relies on quantifiable data (at least that's my distinction)"
CulturalStratigraphy: local chronology,various thesauri?  http://vocab.getty.edu/page/aat/300017826 in the Getty Art and Architecture Thesaurus,Tepeu [http://vocab.getty.edu/page/aat/300017108],suggested,zooarch,"Kitty says: this is the more detailed version of the chronology above, and as with that one, is a generalized period name"
